date,original_body_fat_pct,original_fat_mass,calibrated_fat_mass,calibrated_body_fat_pct,weight
2025-09-04T08:01:34,17.2,32.507999999999996,40.848908499767745,21.613179100406217,189.0
2025-09-04T08:01:01,17.2,32.507999999999996,40.848908499767745,21.613179100406217,189.0
2025-09-02T07:37:41,17.2,32.68,41.21981952093424,21.694641853123283,190.0
2025-09-01T09:39:33,17.1,32.2164,40.22008493132505,21.3482404094082,188.4
2025-08-31T09:59:00,16.9,31.602999999999998,38.897312719792964,20.8007019891941,187.0
2025-08-31T09:52:14,16.9,31.636799999999994,38.970201048371024,20.817415089941786,187.2
2025-08-30T09:25:18,17.1,32.284800000000004,40.367586756021495,21.381137052977486,188.8
2025-08-29T07:25:11,17.2,32.542399999999994,40.92309070400104,21.629540541226767,189.2
2025-08-28T07:37:58,17.2,32.6456,41.14563731670094,21.678417975079526,189.8
2025-08-27T08:03:53,17.23,32.77146,41.41704929998008,21.775525394311295,190.2
2025-08-26T07:59:23,17.16,32.466719999999995,40.7598898546878,21.543282164211313,189.2
2025-08-25T07:56:30,17.23,32.737,41.342737708181275,21.759335635884884,190.0
2025-08-24T09:46:27,16.89,31.7532,39.22121292548603,20.86234730079044,188.0
2025-08-23T09:00:10,17.16,32.50104,40.833899542167075,21.55960905077459,189.4
2025-08-22T09:14:38,17.03,32.084520000000005,39.9356910623051,21.197288249631153,188.4
2025-08-21T07:49:44,17.23,32.737,41.342737708181275,21.759335635884884,190.0
2025-08-20T08:57:30,17.36,33.05344,42.025127728750576,22.072020865940427,190.4
2025-08-19T07:49:10,17.36,33.05344,42.025127728750576,22.072020865940427,190.4
2025-08-18T08:02:24,17.16,32.50104,40.833899542167075,21.55960905077459,189.4
2025-08-17T08:47:31,17.36,33.01872,41.95025545750116,22.055865119611546,190.2
2025-08-16T09:57:16,17.57,33.69926,43.417812354853695,22.637024168328306,191.8
2025-08-15T07:55:56,17.57,33.7344,43.49359033906177,22.652911634928007,192.0
2025-08-14T09:29:03,17.16,32.466719999999995,40.7598898546878,21.543282164211313,189.2
2025-08-13T19:34:31,17.23,32.66808,41.19411452458364,21.72685365220656,189.6
2025-08-09T08:39:31,17.36,33.08816,42.099999999999994,22.08814270724029,190.6
2025-08-08T09:09:10,17.23,32.737,41.342737708181275,21.759335635884884,190.0
2025-08-01T07:31:22,17.36,33.08816,42.099999999999994,22.08814270724029,190.6
2025-07-29T08:32:59,16.9,31.636799999999994,38.970201048371024,20.817415089941786,187.2
2025-07-28T07:49:26,17.2,32.6112,41.071455112467646,21.66215986944496,189.6
2025-07-14T08:19:44,16.9,31.5692,38.824424391214905,20.78395310022211,186.8
2025-06-02T10:31:48,16.7,30.961799999999997,37.51459093623514,20.234407193222836,185.4
2025-05-02T09:32:04,16.7,31.095399999999994,37.80269391546676,20.30219866566421,186.2
2025-05-02T09:29:51,16.8,31.2816,38.20422666047375,20.517844608202875,186.2
2025-04-18T09:45:26,16.8,31.315200000000004,38.276683697166746,20.534701554274005,186.4
2025-03-30T09:50:12,16.9,31.636799999999994,38.970201048371024,20.817415089941786,187.2
2025-03-20T09:09:29,16.9,31.602999999999998,38.897312719792964,20.8007019891941,187.0
2025-03-18T07:44:23,16.8,31.416,38.49405480724569,20.58505604665545,187.0
2025-03-11T08:04:59,17.3,32.9046,41.70416030787605,21.926477554088354,190.2
2025-03-06T07:56:01,17.2,32.7144,41.29400172516753,21.710831611549704,190.2
2025-02-23T08:56:25,17.1,32.319,40.44133766836971,21.397533157867574,189.0
2025-01-29T17:42:03,16.9,31.704399999999996,39.11597770552716,20.85073438460936,187.6
2025-01-29T07:52:45,17.16,32.53536,40.90790922964632,21.575901492429495,189.6
2025-01-16T07:06:07,16.15,29.586799999999993,34.54945922632868,18.858875123541857,183.2
2025-01-05T08:02:34,15.95,29.0609,33.41537721451793,18.339943586453312,182.2
2024-12-23T10:16:20,15.74,28.457920000000005,32.115075310198385,17.76276289280884,180.8
2024-12-20T08:31:55,15.41,27.583900000000003,30.230286643222065,16.88842829230283,179.0
2024-12-09T07:31:36,15.95,29.029,33.346586158848105,18.322300087279178,182.0
2024-12-04T08:01:12,15.41,27.614720000000002,30.29674872271248,16.906667814013662,179.2
2024-11-26T07:52:25,15.54,27.878759999999996,30.866140269391515,17.205206393194825,179.4
2024-11-24T09:29:04,15.61,28.129219999999997,31.406247097073823,17.428549998376152,180.2
2024-11-19T08:04:04,15.95,29.0928,33.48416827018776,18.35754839374329,182.4
2024-11-15T07:46:46,16.01,29.266280000000005,33.85827085130382,18.52203000618371,182.8
2024-11-13T09:01:57,15.95,29.0928,33.48416827018776,18.35754839374329,182.4
2024-11-12T07:30:42,15.81,28.710960000000004,32.66074580319818,17.984992182377855,181.6
2024-11-10T08:52:59,15.95,29.0928,33.48416827018776,18.35754839374329,182.4
2024-11-10T08:42:30,16.3,29.6986,34.790551390086904,19.094704385338588,182.2
2024-10-30T09:55:51,16.5,30.426000000000002,36.35915997611306,19.71754879398756,184.4
2024-10-29T07:54:51,16.6,30.6436,36.82840554707715,19.950382203183725,184.6
2024-10-28T07:53:59,16.6,30.676800000000004,36.89999999999999,19.96753246753246,184.8
2024-10-09T10:39:32,16.3,29.666,34.72025081281931,19.077060886164453,182.0
2024-09-29T06:14:50,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-09-18T10:11:00,16.4,30.044799999999995,35.53711764315571,19.39798997988849,183.2
2024-09-18T06:58:00,16.3,29.796400000000002,35.00145312188971,19.147403239545792,182.8
2024-09-15T06:31:29,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-09-13T06:48:49,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-09-12T07:28:05,16.5,30.393,36.2879968150753,19.7003240038411,184.2
2024-09-10T06:39:43,16.3,29.829,35.07175369915731,19.164892731779954,183.0
2024-09-09T07:14:19,16.3,29.796400000000002,35.00145312188971,19.147403239545792,182.8
2024-09-06T08:22:18,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-09-04T07:38:19,16.4,30.044799999999995,35.53711764315571,19.39798997988849,183.2
2024-09-01T11:14:22,16.3,29.796400000000002,35.00145312188971,19.147403239545792,182.8
2024-08-08T05:50:43,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-08-05T06:33:41,16.0,28.768,32.78375024882222,18.23345397598566,179.8
2024-07-30T05:21:28,16.0,28.736,32.714743547209856,18.215336050784998,179.6
2024-07-29T04:54:40,16.2,29.4192,34.18803662663392,18.82601135827859,181.6
2024-07-26T04:39:16,15.3,26.744400000000002,28.419938955610093,16.25854631327808,174.8
2024-07-25T06:33:09,16.1,29.0766,33.4492336274965,18.521170336376798,180.6
2024-07-24T06:09:46,15.9,28.4928,32.19029261495586,17.963332932453046,179.2
2024-07-23T06:08:25,15.9,28.4928,32.19029261495586,17.963332932453046,179.2
2024-07-22T05:37:12,16.0,28.768,32.78375024882222,18.23345397598566,179.8
2024-07-21T07:18:25,15.9,28.461000000000002,32.12171720522857,17.945093410742217,179.0
2024-07-20T08:56:06,15.7,27.946,31.011140601154516,17.4219891017722,178.0
2024-07-20T07:10:46,15.8,28.1872,31.531278614557742,17.67448352833954,178.4
2024-07-19T06:26:13,15.7,27.8832,30.87571494924024,17.38497463358122,177.6
2024-07-18T06:29:37,15.9,28.4928,32.19029261495586,17.963332932453046,179.2
2024-07-17T06:42:07,15.7,27.8204,30.740289297325965,17.347793057181697,177.2
2024-07-16T06:28:19,15.8,28.218799999999998,31.59942273239995,17.692845874804007,178.6
2024-07-15T05:23:53,16.0,28.736,32.714743547209856,18.215336050784998,179.6
2024-07-13T06:32:10,15.9,28.4292,32.053141795501276,17.926813084732256,178.8
2024-07-12T05:43:51,16.0,28.768,32.78375024882222,18.23345397598566,179.8
2024-07-11T06:11:00,16.1,29.108800000000002,33.51867162099395,18.53908828594798,180.8
2024-07-09T06:02:14,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-07-08T05:59:11,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-07-07T06:45:28,16.0,28.768,32.78375024882222,18.23345397598566,179.8
2024-06-29T06:05:36,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-06-28T04:51:14,15.9,28.5882,32.39601884413773,18.01780803344701,179.8
2024-06-28T04:50:52,15.9,28.5882,32.39601884413773,18.01780803344701,179.8
2024-06-27T05:22:02,16.1,29.0766,33.4492336274965,18.521170336376798,180.6
2024-06-26T05:07:52,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-06-25T05:31:51,16.2,29.548800000000004,34.46751376816402,18.896663250089922,182.4
2024-06-24T05:02:21,16.3,29.796400000000002,35.00145312188971,19.147403239545792,182.8
2024-06-23T07:34:41,16.6,30.6436,36.82840554707715,19.950382203183725,184.6
2024-06-22T06:20:18,16.2,29.484,34.327775197398964,18.861414943625803,182.0
2024-06-21T06:05:09,16.1,29.108800000000002,33.51867162099395,18.53908828594798,180.8
2024-06-20T06:36:17,16.1,29.141000000000002,33.588109614491394,18.55696663784055,181.0
2024-06-19T07:16:12,16.1,29.173199999999998,33.65754760798883,18.574805523172646,181.2
2024-06-18T05:35:01,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-06-17T05:22:37,16.2,29.451600000000003,34.25790591201645,18.84373262487153,181.8
2024-06-16T07:01:31,16.2,29.548800000000004,34.46751376816402,18.896663250089922,182.4
2024-06-15T05:29:41,16.0,28.896,33.059777055271695,18.305524393838148,180.6
2024-06-14T04:54:12,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-06-13T06:17:04,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-06-12T05:27:58,16.2,29.451600000000003,34.25790591201645,18.84373262487153,181.8
2024-06-11T05:47:58,16.2,29.451600000000003,34.25790591201645,18.84373262487153,181.8
2024-06-10T05:22:00,16.3,29.7638,34.93115254462211,19.129875435170927,182.6
2024-06-09T06:44:04,16.4,30.077599999999997,35.60784951230839,19.415403223723224,183.4
2024-06-09T06:38:47,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-06-08T07:33:11,16.3,29.6986,34.790551390086904,19.094704385338588,182.2
2024-06-07T05:10:28,16.2,29.4192,34.18803662663392,18.82601135827859,181.6
2024-06-07T05:10:08,16.2,29.4192,34.18803662663392,18.82601135827859,181.6
2024-06-06T05:18:49,16.4,30.044799999999995,35.53711764315571,19.39798997988849,183.2
2024-06-06T05:10:31,16.4,30.143199999999997,35.74931325061374,19.45011602318484,183.8
2024-06-05T05:16:45,16.5,30.360000000000003,36.21683365403754,19.683061768498664,184.0
2024-06-04T04:59:20,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-06-03T05:48:36,16.5,30.426000000000002,36.35915997611306,19.71754879398756,184.4
2024-06-01T06:54:58,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-05-31T05:06:59,16.5,30.327,36.1456704929998,19.6657619657235,183.8
2024-05-30T05:18:25,16.5,30.426000000000002,36.35915997611306,19.71754879398756,184.4
2024-05-29T04:57:56,16.3,29.829,35.07175369915731,19.164892731779954,183.0
2024-05-28T06:17:30,16.6,30.6436,36.82840554707715,19.950382203183725,184.6
2024-05-27T06:49:29,16.6,30.71,36.971594452922815,19.98464565022855,185.0
2024-05-26T06:29:15,16.6,30.71,36.971594452922815,19.98464565022855,185.0
2024-05-25T05:58:55,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-05-25T05:58:15,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-05-25T05:45:15,16.0,28.8,32.852756950434596,18.25153163913033,180.0
2024-05-25T05:44:21,16.0,28.8,32.852756950434596,18.25153163913033,180.0
2024-05-25T05:40:50,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-05-25T05:40:25,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-05-25T05:29:31,16.0,28.864,32.99077035365933,18.28756671488876,180.4
2024-05-25T05:27:12,16.0,28.864,32.99077035365933,18.28756671488876,180.4
2024-05-25T05:26:49,16.0,28.864,32.99077035365933,18.28756671488876,180.4
2024-05-25T05:26:28,16.1,29.108800000000002,33.51867162099395,18.53908828594798,180.8
2024-05-25T05:24:54,16.0,28.864,32.99077035365933,18.28756671488876,180.4
2024-05-24T20:17:44,16.3,29.666,34.72025081281931,19.077060886164453,182.0
2024-05-24T17:27:30,16.4,30.077599999999997,35.60784951230839,19.415403223723224,183.4
2024-05-24T04:25:06,16.9,31.636799999999994,38.970201048371024,20.817415089941786,187.2
2024-05-23T05:15:32,16.6,30.776400000000002,37.11478335876849,20.018761250684193,185.4
2024-05-22T05:35:45,16.6,30.776400000000002,37.11478335876849,20.018761250684193,185.4
2024-05-22T05:31:15,16.7,31.061999999999998,37.73066817065886,20.28530546809616,186.0
2024-05-21T05:23:17,16.5,30.426000000000002,36.35915997611306,19.71754879398756,184.4
2024-05-19T06:44:57,16.7,31.028599999999997,37.65864242585096,20.26837590196499,185.8
2024-05-18T06:46:26,16.3,29.829,35.07175369915731,19.164892731779954,183.0
2024-05-17T22:10:21,16.6,30.676800000000004,36.89999999999999,19.96753246753246,184.8
2024-05-17T05:45:40,16.3,29.796400000000002,35.00145312188971,19.147403239545792,182.8
2024-05-16T05:38:28,16.6,30.743199999999998,37.04318890584565,20.001721871406943,185.2
2024-05-16T05:38:19,16.6,30.743199999999998,37.04318890584565,20.001721871406943,185.2
2024-05-14T05:09:08,16.6,30.776400000000002,37.11478335876849,20.018761250684193,185.4
2024-05-13T05:08:35,16.5,30.360000000000003,36.21683365403754,19.683061768498664,184.0
2024-05-12T07:54:26,16.6,30.743199999999998,37.04318890584565,20.001721871406943,185.2
2024-05-11T06:15:43,16.6,30.776400000000002,37.11478335876849,20.018761250684193,185.4
2024-05-10T05:02:11,16.5,30.360000000000003,36.21683365403754,19.683061768498664,184.0
2024-05-09T20:25:47,16.8,31.3488,38.34914073385973,20.551522365412502,186.6
2024-05-09T05:44:20,16.5,30.426000000000002,36.35915997611306,19.71754879398756,184.4
2024-05-09T05:17:01,16.5,30.426000000000002,36.35915997611306,19.71754879398756,184.4
2024-05-08T05:08:18,16.7,31.061999999999998,37.73066817065886,20.28530546809616,186.0
2024-05-07T05:07:18,16.6,30.8096,37.186377811691315,20.035763907161268,185.6
2024-05-06T05:10:52,16.8,31.382400000000004,38.42159777055272,20.568307157683467,186.8
2024-05-05T05:58:22,16.9,31.7382,39.18886603410522,20.86734080623281,187.8
2024-05-04T04:35:06,16.8,31.3488,38.34914073385973,20.551522365412502,186.6
2024-05-03T06:07:00,16.6,30.8096,37.186377811691315,20.035763907161268,185.6
2024-05-03T05:44:17,16.7,31.061999999999998,37.73066817065886,20.28530546809616,186.0
2024-05-02T05:15:54,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-05-01T05:04:43,16.6,30.676800000000004,36.89999999999999,19.96753246753246,184.8
2024-04-30T05:32:22,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-04-28T06:28:38,16.3,29.829,35.07175369915731,19.164892731779954,183.0
2024-04-25T04:24:01,16.9,31.636799999999994,38.970201048371024,20.817415089941786,187.2
2024-04-24T04:16:14,16.5,30.360000000000003,36.21683365403754,19.683061768498664,184.0
2024-04-23T06:04:53,16.6,30.676800000000004,36.89999999999999,19.96753246753246,184.8
2024-04-22T05:10:05,16.5,30.360000000000003,36.21683365403754,19.683061768498664,184.0
2024-04-21T06:00:57,16.4,30.044799999999995,35.53711764315571,19.39798997988849,183.2
2024-04-20T12:35:44,16.3,29.796400000000002,35.00145312188971,19.147403239545792,182.8
2024-04-20T03:30:14,16.0,28.831999999999997,32.921763652046955,18.269569174276892,180.2
2024-04-19T05:16:14,16.2,29.3868,34.11816734125139,18.80825101502282,181.4
2024-04-19T05:00:36,16.2,29.4192,34.18803662663392,18.82601135827859,181.6
2024-04-18T19:07:31,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-04-18T17:37:33,16.5,30.327,36.1456704929998,19.6657619657235,183.8
2024-04-18T04:45:55,16.4,30.077599999999997,35.60784951230839,19.415403223723224,183.4
2024-04-18T04:38:41,16.4,30.110399999999995,35.67858138146106,19.432778530207546,183.6
2024-04-17T19:29:08,16.6,30.71,36.971594452922815,19.98464565022855,185.0
